PMC1287824	M05000	140	163	AmpliTaq DNA polymerase
PMC2764366	R02001	124	129	HMGCR
PMC2764366	R03000	193	198	HMGCR
PMC2764366	R04000	91	96	HMGCR
PMC2764366	R04001	71	76	HMGCR
PMC2764366	R04002	99	104	HMGCR
PMC2764366	R06000	49	54	HMGCR
PMC2764366	R07000	77	82	HMGCR
PMC2764366	R07001	8	13	HMGCR
PMC2764366	R07002	61	66	HMGCR
PMC2764366	R07003	47	52	HMGCR
PMC2764366	R07004	33	38	HMGCR
PMC2764366	R09000	49	54	HMGCR
PMC2764366	R10000	60	65	HMGCR
PMC2764366	R11000	103	108	HMGCR
PMC2764366	R11001	113	118	HMGCR
PMC2764366	R11002	279	284	HMGCR
PMC2764366	R12000	24	29	HMGCR
PMC2764366	R12001	135	140	HMGCR
PMC2764366	R12002	28	33	HMGCR
PMC2764366	R12003	178	183	HMGCR
PMC2772856	M08000	102	112	luciferase
PMC2772856	M08001	17	27	luciferase
PMC2797209	D01000	67	75	protease
PMC2797209	D02000	51	59	protease
PMC2797209	D04000	21	29	protease
PMC2797209	D04001	155	163	protease
PMC2797209	D04002	20	28	protease
PMC2797209	I01000	9	18	proteases
PMC2797209	I01001	82	100	cysteine proteases
PMC2797209	I01002	89	105	serine proteases
PMC2797209	R00000	68	76	protease
PMC2797209	R00001	184	192	protease
PMC2797209	R04000	47	55	protease
PMC2797209	R06000	23	32	proteases
PMC2797209	R07000	57	71	endopeptidases
PMC2797209	R07001	0	10	Proteinase
PMC2818256	D04000	168	171	GST
PMC2818256	D04001	0	24	Aldo-keto reductase 1B10
PMC2826838	R10000	22	34	transaminase
PMC2846615	A00000	163	178	tyrosine kinase
PMC2900891	R00000	119	161	farnesyl-diphosphate farnesyltransferase 1
PMC2928134	I01000	4	29	UDP-glycosyltransferase 1
PMC2947716	D03000	74	77	SOD
PMC2947716	R03000	82	90	A-kinase
PMC2947716	R03001	14	22	A-kinase
PMC2947716	R03002	28	44	protein kinase C
PMC2947716	R03003	79	95	protein kinase C
PMC2947716	R03004	65	81	alpha-1 protease
PMC2959149	D05000	32	50	phospholipase C-β1
PMC2998712	D03000	85	105	17-alpha-hydroxylase
PMC2998712	D03001	48	63	17α-hydroxylase
PMC3076530	I01000	17	34	HMG-CoA reductase
PMC3084048	R04000	47	86	peroxisomal trans-2-enoyl-CoA reductase
PMC3088509	D00000	34	39	PGD2S
PMC3088509	D01000	62	87	prostaglandin D2 synthase
PMC3088509	D01001	0	5	PGD2S
PMC3088509	D03000	125	130	PGD2S
PMC3088509	D03001	89	94	PGD2S
PMC3088509	D04000	37	42	PGD2S
PMC3088509	D04001	79	84	PGD2S
PMC3088509	D04002	83	88	PGD2S
PMC3088509	D04003	22	35	neuraminidase
PMC3088509	D04004	74	79	PGD2S
PMC3088509	D04005	24	29	PGD2S
PMC3088509	D04006	29	34	PGD2S
PMC3088509	D04007	63	68	PGD2S
PMC3088509	M02000	0	5	PGD2S
PMC3088509	M03000	0	5	PGD2S
PMC3088509	R04000	78	103	prostaglandin D2 synthase
PMC3088509	R06000	72	77	PGD2S
PMC3088509	R06001	31	36	PGD2S
PMC3088509	R07000	22	27	PGD2S
PMC3088509	R07001	132	137	PGD2S
PMC3088509	R08000	26	31	PGD2S
PMC3100175	D03000	61	76	serine protease
PMC3108835	D00000	373	383	esterase D
PMC3108835	D01000	137	147	esterase D
PMC3108835	D03000	52	62	esterase D
PMC3108835	D03001	182	192	esterase D
PMC3108835	R02000	135	155	lysine endopeptidase
PMC3108835	R05000	42	52	esterase D
PMC3108835	R05001	186	196	esterase D
PMC3108835	R05002	18	28	nuclease 1
PMC3108835	R07000	119	129	esterase D
PMC3108835	R07001	211	221	nuclease 1
PMC3108835	R07002	191	201	nuclease 1
PMC3108838	M02000	25	27	AP
PMC3108838	M02001	4	6	AP
PMC3108838	M04000	37	39	AP
PMC3108838	M04001	0	2	AP
PMC3108838	M04002	56	58	AP
PMC3108838	M11000	26	28	AP
PMC3108838	M11001	57	59	AP
PMC3108838	R02000	131	133	AP
PMC3108838	R02001	25	27	AP
PMC3108838	R03000	66	68	AP
PMC3108838	R06000	74	76	AP
PMC3108838	R06001	145	147	AP
PMC3108838	R07000	67	69	AP
PMC3108838	R07001	4	6	AP
PMC3108838	R07002	46	48	AP
PMC3108838	R14000	107	109	AP
PMC3108838	R15000	96	98	AP
PMC3129430	M03000	219	222	ALT
PMC3129430	R10000	203	215	transaminase
PMC3129430	R10001	55	58	ALT
PMC3158568	D01000	4	27	glutamyl aminopeptidase
PMC3158568	D01001	35	44	guanylase
PMC3175321	M11000	155	176	reverse transcriptase
PMC3182105	A00000	11	32	reverse transcriptase
PMC3182105	A00001	132	153	reverse transcriptase
PMC3182105	I00000	11	32	reverse transcriptase
PMC3182105	I00001	393	403	polymerase
PMC3214617	I10000	20	43	cyclin-dependent kinase
PMC3221604	D04000	95	104	integrase
PMC3221604	M02000	166	171	RNase
PMC3221604	M13000	257	266	integrase
PMC3221604	M14000	40	49	integrase
PMC3221604	M14001	55	64	integrase
PMC3221604	M15000	34	43	integrase
PMC3221604	R10000	296	305	integrase
PMC3221604	R10001	52	61	integrase
PMC3224994	D01000	171	187	phospholipase A2
PMC3241912	D03000	47	75	protein tyrosine phosphatase
PMC3249587	M05000	119	131	endonuclease
PMC3254127	M03000	133	145	proteinase K
PMC3254127	M04000	58	68	polymerase
PMC3255724	R03000	170	185	β-glucuronidase
PMC3260972	R06000	88	91	GDA
PMC3260972	R06001	58	61	GDA
PMC3276286	A00000	6	32	gamma-glutamyl transferase
PMC3276286	A00001	40	43	GGT
PMC3276286	A00002	142	145	GGT
PMC3276286	A00003	50	53	GGT
PMC3276286	D01000	55	58	GGT
PMC3276286	D02000	180	183	GGT
PMC3276286	D05000	60	63	GGT
PMC3276286	D05001	140	143	GGT
PMC3276286	D05002	0	3	GGT
PMC3276286	D05003	33	36	GGT
PMC3276286	D07000	11	14	GGT
PMC3276286	D09000	66	69	GGT
PMC3276286	D10000	90	93	GGT
PMC3276286	D10001	78	81	GGT
PMC3276286	D10002	101	104	GGT
PMC3276286	D10003	40	43	GGT
PMC3276286	D10004	58	61	GGT
PMC3276286	D12000	6	9	GGT
PMC3276286	D12001	73	76	GGT
PMC3276286	D12002	98	101	GGT
PMC3276286	I00000	0	26	Gamma-glutamyl transferase
PMC3276286	I01000	15	18	GGT
PMC3276286	I01001	212	215	GGT
PMC3276286	I02000	60	63	GGT
PMC3276286	I03000	60	63	GGT
PMC3276286	I03001	37	40	GGT
PMC3276286	I03002	61	64	GGT
PMC3276286	I04000	67	70	GGT
PMC3276286	I04001	96	99	ALT
PMC3276286	I04002	116	119	GGT
PMC3276286	M05000	51	54	GGT
PMC3276286	M17003	91	94	GGT
PMC3276286	M19000	48	51	GGT
PMC3276286	R00000	40	43	GGT
PMC3276286	R01000	72	75	GGT
PMC3276286	R02000	57	60	ALT
PMC3276286	R02001	69	72	GGT
PMC3276286	R02002	158	161	GGT
PMC3276286	R02003	29	32	AST
PMC3276286	R05000	90	93	GGT
PMC3276286	R05001	96	99	GGT
PMC3302576	D06000	189	192	DBH
PMC3302576	D06001	0	3	DBH
PMC3334304	D02000	129	133	MYLK
PMC3334304	D02001	0	4	MYLK
PMC3346154	A00000	100	122	β-carotene oxygenase 1
PMC3346154	R01000	186	196	luciferase
PMC3356921	I01000	263	274	translocase
PMC3358035	M04000	80	90	polymerase
PMC3367131	M01000	59	74	β-galactosidase
PMC3368351	R02000	50	70	alanine transaminase
PMC3368351	R02001	4	7	ALT
PMC3406255	D02000	209	212	PDH
PMC3426673	M02000	90	105	phopholipase A2
PMC3426673	R13000	10	13	LOX
PMC3426673	R14000	4	7	COX
PMC3426673	R14001	77	80	COX
PMC3459464	D01000	11	35	sterol-C4-Methyl oxidase
PMC3486223	M05000	197	211	DNA polymerase
PMC3501717	R04000	362	374	asparaginase
PMC3505013	A00000	213	228	tyrosine kinase
PMC3544159	M10000	200	208	protease
PMC3544159	M11000	0	9	Pronase E
PMC3584211	D02000	60	68	protease
PMC3584211	D03000	113	121	protease
PMC3584211	D03001	62	70	protease
PMC3584211	D04000	55	64	proteases
PMC3584211	D06000	71	79	protease
PMC3584211	D06001	92	101	proteases
PMC3584211	D06002	102	111	proteases
PMC3584211	D06003	113	121	protease
PMC3584211	D07000	149	157	protease
PMC3584211	D07001	60	69	proteases
PMC3584211	D08000	121	130	proteases
PMC3584211	D08001	66	75	proteases
PMC3584211	D09000	50	59	proteases
PMC3584211	I02000	87	96	proteases
PMC3584211	I03000	55	67	exoproteases
PMC3584211	I04000	77	86	proteases
PMC3584211	M05000	34	42	protease
PMC3584211	M06000	31	39	protease
PMC3584211	R00000	17	25	protease
PMC3584211	R00001	101	110	proteases
PMC3584211	R01000	56	65	proteases
PMC3584211	R02000	59	67	protease
PMC3584211	R03000	61	69	protease
PMC3584211	R04000	63	72	proteases
PMC3584211	R05000	66	75	proteases
PMC3584211	R09000	89	98	proteases
PMC3591372	M10000	209	224	myeloperoxidase
PMC3608855	A00000	56	82	aspartate aminotransferase
PMC3608855	D00000	6	9	AST
PMC3608855	D00001	10	13	AST
PMC3608855	D00002	60	63	AST
PMC3608855	D00003	63	66	AST
PMC3608855	D00004	64	67	AST
PMC3608855	D01000	15	18	AST
PMC3608855	D01001	29	32	AST
PMC3608855	D01002	34	37	AST
PMC3608855	D01003	9	12	AST
PMC3608855	I00000	0	26	Aspartate aminotransferase
PMC3608855	I01000	22	25	AST
PMC3608855	I01001	35	38	AST
PMC3608855	I01002	62	65	AST
PMC3608855	I01003	57	60	AST
PMC3608855	M08000	0	3	AST
PMC3608855	M08001	114	134	malate dehydrogenase
PMC3608855	R00000	31	34	AST
PMC3608855	R03000	229	232	AST
PMC3608855	R03002	117	120	AST
PMC3608930	D03000	279	289	MAP kinase
PMC3638140	M03000	120	133	Exonuclease I
PMC3638140	M03001	107	119	exonucleases
PMC3638140	M04000	6	17	exonuclease
PMC3638140	M04001	258	268	polymerase
PMC3645730	R05000	49	53	PLA2
PMC3645730	R05001	16	20	PLA2
PMC3645730	R05002	0	4	PLA2
PMC3645730	R05003	25	29	PLA2
PMC3645730	R05004	39	43	PLA2
PMC3645730	R06000	0	4	PLA2
PMC3645730	R07000	72	85	phospholipase
PMC3675060	D00000	158	161	LPO
PMC3675060	D04000	27	37	peroxidase
PMC3675060	M14000	72	75	LPO
PMC3675060	M19000	4	7	LPO
PMC3675060	R02000	62	77	Lactoperoxidase
PMC3675060	R02001	56	59	LPO
PMC3682469	D01000	43	75	ubiquinol-cytochrome c reductase
PMC3691078	D01000	93	97	MGMT
PMC3691078	M02000	108	112	MGMT
PMC3691078	M02001	102	106	MGMT
PMC3691078	M09000	87	91	MGMT
PMC3691078	M09001	101	105	MGMT
PMC3691078	R01000	110	114	MGMT
PMC3691078	R02000	93	97	MGMT
PMC3691078	R02001	39	43	MGMT
PMC3691078	R02002	39	43	MGMT
PMC3691205	D06000	57	84	prostate acidic phosphatase
PMC3691205	D06001	28	32	ACPP
PMC3725073	R15000	106	127	reverse transcriptase
PMC3760386	I00000	0	20	Thymidylate synthase
PMC3760386	I00001	94	96	TS
PMC3760386	I00002	43	45	TS
PMC3760386	I01000	143	145	TS
PMC3760386	I01001	100	116	thymidine kinase
PMC3780518	A02000	65	82	tyrosine kinase-4
PMC3786343	I06000	75	94	E3 ubiquitin ligase
PMC3810148	D01000	104	120	metalloproteases
PMC3811377	D01000	88	95	DNase I
PMC3811377	D03000	33	38	DNase
PMC3811377	M03000	167	174	DNase I
PMC3811377	R03000	0	7	DNase I
PMC3811377	R03001	22	27	DNase
PMC3811377	R03002	130	137	DNase I
PMC3811377	R05000	21	28	DNase I
PMC3811377	R05001	0	7	DNase I
PMC3811377	R06000	79	86	DNase I
PMC3811377	R07000	53	60	DNase I
PMC3811377	R07001	49	56	DNase I
PMC3811377	R07002	43	50	DNase I
PMC3811377	R09000	34	41	DNase I
PMC3811377	R09001	21	28	DNase I
PMC3811377	R10000	226	231	DNase
PMC3818640	D04000	117	140	cyclin-dependent kinase
PMC3882906	D03000	19	38	deoxyribonuclease 1
PMC3897403	M01000	450	454	eNOS
PMC3897403	R11000	63	79	serine proteases
PMC3897403	R16000	4	14	Tyr kinase
PMC3897403	R20000	0	4	eNOS
PMC3899019	R02000	117	130	alpha-amylase
PMC3907856	I00000	14	35	protein phosphatase-1
PMC3907856	M00000	107	122	glucose oxidase
PMC3907856	R02000	74	77	PP1
PMC3907856	R02001	9	12	PP1
PMC3907856	R03000	118	121	PP1
PMC3943323	D03000	718	728	Syk kinase
PMC3946581	M08000	175	185	Polymerase
PMC3966292	I05000	127	142	creatine kinase
PMC3971604	D07000	5	34	pyruvate carboxyl transferase
PMC3971604	R08000	249	268	precorrin-2 oxidase
PMC3971604	R08001	146	190	4-hydroxythreonine-4-phosphate dehydrogenase
PMC3975596	M04000	310	320	polymerase
PMC3977717	A04000	197	210	α-mannosidase
PMC3977717	D04000	25	51	ATP-dependent RNA helicase
PMC3977717	R14000	0	13	α-Mannosidase
PMC3977717	R14001	8	21	α-mannosidase
PMC3991606	D05000	83	88	NMNAT
PMC3991606	M08000	5	24	adenylyltransferase
PMC3991606	M09000	10	25	pyrophosphatase
PMC3991606	R04000	130	149	adenylyltransferase
PMC3991606	R07000	96	101	NMNAT
PMC3991606	R09000	132	137	NMNAT
PMC3994512	R11000	0	3	but
PMC4019336	D02000	86	102	metallopeptidase
PMC4020801	D08000	11	39	prostaglandin H2-D isomerase
PMC4020801	D09000	223	231	protease
PMC4020801	D10000	355	363	protease
PMC4020801	D11000	258	280	glutathione peroxidase
PMC4038932	I08000	146	163	monoamine oxidase
PMC4059435	D04000	59	65	GTPase
PMC4111986	I00000	284	299	1-α hydroxylase
PMC4123862	A02000	41	45	FADS
PMC4123862	D03000	38	42	FADS
PMC4123862	D06000	4	8	FADS
PMC4123862	D09000	48	52	FADS
PMC4123862	I01000	99	120	fatty acid desaturase
PMC4123862	I01001	55	86	delta-5 and delta-6 desaturases
PMC4123862	I01002	94	98	FADS
PMC4123862	I01003	174	178	FADS
PMC4149216	I00000	175	196	alcohol dehydrogenase
PMC4149216	R02000	136	158	aldehyde dehydrogenase
PMC4150403	D03000	125	135	thiaminase
PMC4150403	D03001	39	49	thiaminase
PMC4150403	D03002	28	38	thiaminase
PMC4231542	I10000	384	412	catechol-O-methyltransferase
PMC4273135	M04000	57	78	Reverse Transcriptase
PMC4284067	R05000	222	238	xanthine oxidase
PMC4284067	R06000	84	88	SOD1
PMC4284067	R06001	32	36	SOD1
PMC4284067	R06002	58	71	NADPH oxidase
PMC4284067	R06003	0	4	SOD1
PMC4284067	R06004	74	78	SOD1
PMC4284067	R10000	4	15	translocase
PMC4307209	A03000	70	91	fatty acid desaturase
PMC4307209	D01000	28	49	fatty acid desaturase
PMC4312632	D01000	199	202	ALT
PMC4312632	D04000	28	50	cysteamine dioxygenase
PMC4325090	R02000	148	169	protein phosphatase 3
PMC4325090	R03000	183	189	ATPase
PMC4332724	A00000	15	27	multi-kinase
PMC4332724	I00000	17	29	multi-kinase
PMC4332724	M06000	390	399	S6 kinase
PMC4335418	A00000	32	41	coagulase
PMC4342834	M04000	143	162	neutrophil elastase
PMC4342834	R07000	108	127	neutrophil elastase
PMC4342834	R07001	71	90	neutrophil elastase
PMC4342834	R08000	65	84	neutrophil elastase
PMC4342834	R08001	75	94	neutrophil elastase
PMC4342834	R10000	100	119	neutrophil elastase
PMC4361625	A00000	28	56	protein tyrosine phosphatase
PMC4361625	I00000	0	29	Protein tyrosine phosphatases
PMC4361625	I00001	179	197	carbonic anhydrase
PMC4361625	M10000	173	181	PNGase F
PMC4370263	D04000	120	140	galactosylceramidase
PMC4370263	R02000	80	100	galactosylceramidase
PMC4418030	D05000	365	373	helicase
PMC4430427	M04000	146	156	polymerase
PMC4492686	I02000	58	68	trypticase
PMC4521383	A00000	0	15	Tyrosine kinase
PMC4548467	I03000	40	50	polymerase
PMC4576037	D02000	276	281	ESBLs
PMC4576037	M02000	14	18	ESBL
PMC4576037	R03000	110	114	ESBL
PMC4667190	R10000	0	15	β-glucuronidase
PMC4667190	R10001	92	107	β-glucuronidase
PMC4791241	M24000	60	80	Superoxide Dismutase
PMC4794734	I01000	280	290	polymerase
PMC4809928	D02000	139	147	nuclease
PMC4819009	D01000	108	119	glucokinase
PMC4876170	M05000	61	68	caspase
PMC4892810	R04000	82	97	arginine kinase
PMC4892810	R04001	126	141	arginine kinase
PMC4893679	D03000	50	56	lipase
PMC4893679	D03001	29	35	lipase
PMC4893679	R03000	61	68	amylase
PMC4893679	R03001	34	41	amylase
PMC4893679	R05000	73	79	lipase
PMC4908688	R09000	71	89	phosphotransferase
PMC4908688	R10000	20	40	cytochrome c oxidase
PMC4915629	D03000	11	37	kynurenine 3-monooxygenase
PMC4915629	D03001	18	21	KMO
PMC4915629	D03002	63	66	KMO
PMC4915629	D03003	23	26	KMO
PMC4937660	M01000	254	287	glucose-6-phosphate dehydrogenase
PMC5027112	D10000	133	146	NADPH oxidase
PMC5027112	D10001	29	61	mitogen-activated protein kinase
PMC5036217	A09000	110	130	alkaline phosphatase
PMC5036217	D04000	9	12	ALP
PMC5036217	D04001	49	52	ALP
PMC5036217	D04002	65	68	ALP
PMC5036217	R12000	219	244	γ-glutamyl transpeptidase
PMC5036217	R12001	35	38	ALP
PMC5036217	R12002	115	118	GGT
PMC5036217	R12003	131	134	ALP
PMC5054734	A02000	38	47	coagulase
PMC5054734	D01000	148	157	coagulase
PMC5065895	A03000	25	40	serine protease
PMC5065895	D01000	7	22	serine protease
PMC5065895	D01001	7	22	serine protease
PMC5065895	D02000	0	27	Lysosomal alpha-glucosidase
PMC5065895	D02001	89	116	lysosomal alpha-glucosidase
PMC5065895	D03000	0	37	Peptidyl-prolyl cis-trans isomerase A
PMC5073280	D04000	86	96	peroxidase
PMC5073280	M07000	253	274	glutathione reductase
PMC5073280	M09000	0	20	Superoxide dismutase
PMC5079369	M03000	64	74	polymerase
PMC5097088	D03000	40	50	aldolase A
PMC5097088	D03001	10	20	aldolase A
PMC5097088	D04000	0	10	Aldolase A
PMC5097088	D04001	52	62	aldolase A
PMC5097088	D04002	50	60	aldolase A
PMC5097088	D04003	69	79	aldolase A
PMC5097088	D04004	63	73	aldolase A
PMC5097088	R04000	0	32	Fructose-bisphosphate aldolase A
PMC5124534	I01000	132	147	17α-hydroxylase
PMC5135610	R11000	76	85	aromatase
PMC5152829	R04000	48	85	sphingosine‐1‐phosphate phosphatase 1
PMC5152829	R05000	126	130	AGPS
PMC5241710	C00000	106	113	pronase
PMC5241710	I18000	95	102	pronase
PMC5241710	I18001	118	125	pronase
PMC5241710	I18002	14	21	pronase
PMC5241710	I18003	70	77	pronase
PMC5241710	I18004	113	120	pronase
PMC5241710	I18005	126	133	pronase
PMC5241710	I19000	135	151	serine proteases
PMC5241710	I20000	146	154	protease
PMC5241710	I20001	43	52	proteases
PMC5241710	I20002	13	28	serine protease
PMC5241710	I45000	217	224	pronase
PMC5241710	I48000	240	247	pronase
PMC5241710	I48001	42	49	acylase
PMC5241710	I51000	171	178	pronase
PMC5241710	I67000	0	28	UDP-glucuronosyltransferases
PMC5241710	I70000	24	45	reverse transcriptase
PMC5241710	I78000	246	255	proteases
PMC5241710	I79000	0	9	Proteases
PMC5287439	R10000	119	131	ribonuclease
PMC5294455	M07000	299	320	glutathione reductase
PMC5302745	M08000	10	38	acetyl-CoA acetyltransferase
PMC5309131	I00000	18	81	3-hydroxymethyl-3-methylglutaryl coenzyme A (HMG-CoA) reductase
PMC5313175	D05000	24	27	LDH
PMC5313175	D05001	151	154	LDH
PMC5315515	D02000	44	63	MAP3K1 ubiquitinase
PMC5344767	D05000	77	101	dihydropteroate synthase
PMC5344767	D05001	9	31	dihydrofolate synthase
PMC5403757	R01000	216	219	ALT
PMC5403757	R01001	66	69	ALT
PMC5409098	R05000	183	199	protein kinase A
PMC5409098	R06000	286	291	DNase
PMC5409098	R07000	459	474	serine racemase
PMC5413020	D00000	11	20	aconitase
PMC5413020	D06000	14	23	aconitase
PMC5413020	D07000	76	98	acetyl-CoA carboxylase
PMC5413020	D07001	0	22	Acetyl-CoA carboxylase
PMC5413020	I02000	89	100	aconitase 2
PMC5426060	A02000	39	42	DSE
PMC5426060	A03000	98	101	DSE
PMC5426060	D01000	129	132	DSE
PMC5426060	D02000	17	20	DSE
PMC5426060	D04000	147	150	DSE
PMC5426060	D07000	81	84	DSE
PMC5426060	R00000	197	200	DSE
PMC5426060	R01000	153	168	tyrosine kinase
PMC5426060	R02000	112	115	DSE
PMC5511775	A00000	129	141	asparaginase
PMC5511775	A00001	89	109	alanine transaminase
PMC5511775	D00000	145	161	aminotransferase
PMC5511775	D00001	99	102	ALT
PMC5511775	D00002	68	71	ALT
PMC5511775	D00003	58	70	asparaginase
PMC5511775	D00004	203	215	asparaginase
PMC5511775	D00005	40	52	asparaginase
PMC5511775	D00006	69	81	asparaginase
PMC5511775	D00007	162	165	ALT
PMC5511775	D00008	73	76	ALT
PMC5511775	D01000	162	165	ALT
PMC5511775	D01001	15	18	ALT
PMC5511775	D02000	13	26	Phospholipase
PMC5511775	D03000	18	30	asparaginase
PMC5511775	D03001	42	54	asparaginase
PMC5511775	D03002	207	219	asparaginase
PMC5511775	D04000	17	20	ALT
PMC5511775	D04001	100	103	ALT
PMC5511775	D04002	71	74	ALT
PMC5511775	D05000	62	65	ALT
PMC5511775	D05001	98	101	ALT
PMC5511775	D06000	18	30	asparaginase
PMC5511775	D07000	40	43	ALT
PMC5511775	D08000	73	76	ALT
PMC5511775	I01000	75	87	asparaginase
PMC5511775	I02000	88	112	alanine aminotransferase
PMC5511775	I02001	125	128	ALT
PMC5511775	M02000	22	25	ALT
PMC5511775	M02001	0	3	ALT
PMC5511775	M02002	27	30	ALT
PMC5511775	M02003	29	32	ALT
PMC5511775	M02004	0	3	ALT
PMC5511775	M03000	98	110	asparaginase
PMC5511775	M03001	92	104	asparaginase
PMC5511775	M03002	27	30	ALT
PMC5511775	M03003	0	3	ALT
PMC5511775	M04000	147	159	asparaginase
PMC5511775	M04001	184	196	asparaginase
PMC5511775	M04002	121	133	asparaginase
PMC5511775	M04003	15	18	ALT
PMC5511775	M04004	53	56	ALT
PMC5511775	M07000	112	124	asparaginase
PMC5511775	M08000	199	202	ALT
PMC5511775	M08001	241	244	ALT
PMC5511775	R01000	56	59	ALT
PMC5511775	R01001	78	90	asparaginase
PMC5511775	R01002	43	46	ALT
PMC5511775	R01003	52	55	ALT
PMC5511775	R01004	91	94	ALT
PMC5511775	R02000	60	63	ALT
PMC5511775	R02001	46	49	ALT
PMC5511775	R02002	11	14	ALT
PMC5511775	R02003	5	8	ALT
PMC5511775	R02004	40	43	ALT
PMC5511775	R02005	265	268	ALT
PMC5511775	R03000	41	44	ALT
PMC5511775	R03001	85	88	ALT
PMC5511775	R03002	182	185	ALT
PMC5511775	R04000	149	152	ALT
PMC5511775	R04001	82	94	asparaginase
PMC5511775	R05000	36	39	ALT
PMC5511775	R05001	165	168	ALT
PMC5511775	R06000	75	78	ALT
PMC5511775	R06001	36	48	asparaginase
PMC5520483	R01000	75	89	2C-like NTPase
PMC5520483	R01001	62	76	2C-like NTPase
PMC5529966	M09000	27	32	DNase
PMC5554972	D04000	161	173	β-lactamases
PMC5583163	R02000	87	106	carboxypeptidase B2
PMC5593760	I02000	90	101	hydrogenase
PMC5593760	I02001	45	57	hydrogenases
PMC5605482	D08000	73	85	proteinase K
PMC5605482	D08001	30	36	DNases
PMC5697442	A00000	111	134	cytochrome P450 enzymes
PMC5697442	D04000	32	35	CYP
PMC5697442	D10000	107	110	CYP
PMC5697442	D10001	92	95	CYP
PMC5697442	D10002	88	91	CYP
PMC5697442	D11000	0	3	CYP
PMC5697442	I04000	49	52	CYP
PMC5697442	I04001	53	56	CYP
PMC5697442	I04002	24	27	CYP
PMC5697442	I05000	32	35	CYP
PMC5697442	M04000	73	83	polymerase
PMC5697442	M05000	3	6	ALT
PMC5697442	R01000	110	113	ALT
PMC5697442	R05000	25	28	CYP
PMC5698877	D02000	373	377	COMT
PMC5698877	R04000	142	152	luciferase
PMC5698877	R04001	41	51	luciferase
PMC5698877	R04002	4	14	luciferase
PMC5698877	R04003	129	139	luciferase
PMC5718612	R08000	249	268	pump-driving ATPase
PMC5718612	R08001	146	150	ArsC
PMC5718612	R11000	38	42	ArsC
PMC5718612	R11001	54	58	ArsC
PMC5752483	M09000	56	66	polymerase
PMC5765694	R08000	125	129	MMP9
PMC5777374	I07000	83	103	glycoside hydrolases
PMC5787864	D01000	170	178	catalase
PMC5787864	I01000	219	227	catalase
PMC5787864	M08000	198	206	catalase
PMC5787864	R04000	32	40	catalase
PMC5792305	I02000	415	424	aromatase
PMC5797421	D01000	139	171	carnitine palmitoyltransferase 1
PMC5797421	D02000	277	281	CPT1
PMC5797421	D06000	150	166	phospholipase A2
PMC5812477	I19000	107	133	serine/threonine kinase 39
PMC5812477	I19001	24	29	ITPKB
PMC5812477	I19002	11	17	kinase
PMC5882660	I02000	121	145	alanine aminotransferase
PMC5901893	D02000	192	200	helicase
PMC5901893	D02001	94	99	DNAse
PMC5938018	R21000	123	143	pyruvate carboxylase
PMC5938018	R28000	127	160	glucose-6-phosphate dehydrogenase
PMC5938018	R37000	160	171	glutaminase
PMC5946597	R02000	100	115	phospholipase D
PMC5994036	A03000	65	73	arginase
PMC5994036	D01000	51	59	arginase
PMC5994036	D01001	0	9	Arginases
